Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction
Other,Male,48,"Independent contractor, freelancer, or self-employed",Internet-based,Bachelor's degree,Mathematics or statistics,60000,USD,Software Developer/Software Engineer,Fine,SQL,Yes,100% of projects,8
United States,Male,32,Employed full-time,CRM/Marketing,Bachelor's degree,Computer Science,90000,USD,Software Developer/Software Engineer,Fine,R,Yes,51-75% of projects,10 - Highly Satisfied
Chile,Male,29,Employed full-time,Government,Master's degree,Engineering (non-computer focused),36000000,CLP,Other,Fine,R,Yes,100% of projects,6
Australia,Male,24,Employed full-time,Government,Bachelor's degree,Mathematics or statistics,70000,AUD,Statistician,Perfectly,R,Sort of (Explain more),76-99% of projects,7
United States,Male,29,Employed full-time,Academic,Doctoral degree,Physics,80000,USD,Scientist/Researcher,Perfectly,Python,Yes,100% of projects,9
United Kingdom,Male,27,Employed full-time,Other,Master's degree,Physics,25000,GBP,Scientist/Researcher,Fine,Python,Yes,100% of projects,5
United States,Male,28,Employed full-time,Government,Master's degree,A social science,120000,USD,Researcher,Poorly,Python,Sort of (Explain more),51-75% of projects,4
Canada,Male,22,"Independent contractor, freelancer, or self-employed",Insurance,Bachelor's degree,Mathematics or statistics,60000,CAD,Researcher,Fine,R,Yes,76-99% of projects,8
Brazil,Male,33,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),117000,BRL,Scientist/Researcher,Fine,R,Sort of (Explain more),76-99% of projects,1 - Highly Dissatisfied
United States,Female,33,Employed full-time,Military/Security,Bachelor's degree,Fine arts or performing arts,40000,USD,Programmer,Fine,Haskell,Sort of (Explain more),26-50% of projects,1 - Highly Dissatisfied
Spain,Male,32,Employed full-time,Internet-based,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",60000,EUR,Other,Fine,Python,No,51-75% of projects,7
United States,Male,42,Employed full-time,Government,Doctoral degree,Mathematics or statistics,125000,USD,Other,Fine,Python,Yes,76-99% of projects,6
People 's Republic of China,Male,27,"Independent contractor, freelancer, or self-employed",Insurance,Master's degree,Computer Science,100000,CNY,Programmer,Poorly,Python,Yes,10-25% of projects,3
Russia,Male,28,Employed full-time,Academic,Doctoral degree,Computer Science,2000000,RUB,Scientist/Researcher,Fine,Python,Yes,100% of projects,7
United States,Male,33,Employed full-time,Technology,Master's degree,Engineering (non-computer focused),73000,USD,Other,Poorly,Python,Sort of (Explain more),10-25% of projects,1 - Highly Dissatisfied
United States,Male,61,"Independent contractor, freelancer, or self-employed",CRM/Marketing,Master's degree,A social science,140000,USD,Predictive Modeler,Fine,SAS,Sort of (Explain more),10-25% of projects,8
United Kingdom,Male,30,Employed full-time,Other,Master's degree,Mathematics or statistics,38500,GBP,Researcher,Poorly,Python,Sort of (Explain more),100% of projects,7
South Korea,Male,26,Employed full-time,Hospitality/Entertainment/Sports,Doctoral degree,Mathematics or statistics,30000000,KRW,Statistician,Perfectly,Python,Yes,26-50% of projects,8
Turkey,Male,29,Employed full-time,Technology,Doctoral degree,Computer Science,65000,USD,Software Developer/Software Engineer,Fine,R,Sort of (Explain more),26-50% of projects,6
United States,Male,28,Employed full-time,Academic,Bachelor's degree,Biology,29000,USD,Scientist/Researcher,Fine,R,No,100% of projects,8
United States,Male,35,"Independent contractor, freelancer, or self-employed",Pharmaceutical,Master's degree,Mathematics or statistics,132000,USD,Statistician,Perfectly,Python,Yes,100% of projects,10 - Highly Satisfied
United Kingdom,Male,31,Employed full-time,Financial,Doctoral degree,Mathematics or statistics,60000,GBP,Researcher,Poorly,Python,Yes,10-25% of projects,5
Italy,Female,26,Employed full-time,Academic,Doctoral degree,Psychology,20000,GBP,Scientist/Researcher,Fine,Python,Yes,26-50% of projects,7
United States,Male,38,Employed full-time,Academic,Doctoral degree,Biology,102500,USD,Scientist/Researcher,Perfectly,R,Yes,100% of projects,9
United States,Male,33,Employed full-time,Financial,Master's degree,Mathematics or statistics,83000,USD,Data Analyst,Fine,Python,Yes,76-99% of projects,8
United States,Male,34,Employed full-time,Technology,Master's degree,"Information technology, networking, or system administration",110000,USD,Software Developer/Software Engineer,Perfectly,Matlab,No,51-75% of projects,6
United States,Male,47,Employed full-time,Government,Master's degree,Mathematics or statistics,175000,USD,Data Analyst,Fine,Python,Yes,76-99% of projects,1 - Highly Dissatisfied
United States,Male,27,Employed full-time,Government,Master's degree,Computer Science,45000,USD,Data Analyst,Fine,Python,No,Less than 10% of projects,5
Canada,Male,32,Employed full-time,Other,Master's degree,Mathematics or statistics,67000,CAD,Business Analyst,Poorly,Python,Yes,100% of projects,5
Japan,Male,28,"Independent contractor, freelancer, or self-employed",Internet-based,Master's degree,Biology,6000000,JPY,Software Developer/Software Engineer,Fine,Python,Yes,51-75% of projects,6
Brazil,Male,28,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,85200,BRL,Operations Research Practitioner,Perfectly,Python,Yes,10-25% of projects,5
Romania,Male,41,"Independent contractor, freelancer, or self-employed",Telecommunications,Bachelor's degree,Electrical Engineering,60000,USD,Machine Learning Engineer,Fine,Python,No,100% of projects,9
United States,Female,27,Employed full-time,Non-profit,Master's degree,Psychology,38000,USD,Business Analyst,Poorly,SQL,Sort of (Explain more),76-99% of projects,7
United States,Male,23,Employed full-time,Technology,Bachelor's degree,Computer Science,89000,USD,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,9
Switzerland,Male,23,Employed full-time,Technology,Master's degree,Computer Science,24000,CHF,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,10 - Highly Satisfied
Canada,Male,46,Employed full-time,Other,Doctoral degree,Other,63000,CAD,Scientist/Researcher,Poorly,Python,Sort of (Explain more),100% of projects,8
United States,Male,31,Employed full-time,Other,Doctoral degree,Mathematics or statistics,120000,USD,Scientist/Researcher,Fine,R,Sort of (Explain more),51-75% of projects,9
United States,Male,40,Employed full-time,Financial,Master's degree,Mathematics or statistics,110000,USD,Engineer,Poorly,R,Yes,76-99% of projects,5
Belarus,Male,33,Employed full-time,Technology,Master's degree,Physics,20000,BYN,Scientist/Researcher,Fine,Java,Yes,100% of projects,6
Ukraine,Male,66,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Computer Science,10000,USD,Software Developer/Software Engineer,Fine,C/C++/C#,No,10-25% of projects,3
United States,Male,32,Employed full-time,CRM/Marketing,Bachelor's degree,A social science,140000,USD,Data Analyst,Poorly,Python,Yes,76-99% of projects,7
United States,Male,25,Employed full-time,Manufacturing,Bachelor's degree,A social science,70000,USD,Machine Learning Engineer,Perfectly,Python,Yes,26-50% of projects,8
France,Male,50,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,60000,EUR,Data Miner,Fine,R,Sort of (Explain more),Less than 10% of projects,4
United States,Male,52,Employed full-time,Academic,Master's degree,Physics,50000,USD,Scientist/Researcher,Perfectly,R,Yes,Less than 10% of projects,9
United Kingdom,Male,32,Employed full-time,Academic,Doctoral degree,Biology,30000,GBP,Scientist/Researcher,Perfectly,Matlab,Yes,10-25% of projects,6
Russia,Male,24,Employed full-time,CRM/Marketing,Master's degree,Mathematics or statistics,55000,USD,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,8
Hong Kong,Male,48,Employed full-time,Financial,Master's degree,Computer Science,1500000,HKD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,9
Other,Male,41,Employed full-time,Academic,Master's degree,Electrical Engineering,15333,USD,Other,Perfectly,Python,Yes,10-25% of projects,8
Canada,Male,35,Employed full-time,Other,Master's degree,Mathematics or statistics,65000,CAD,Researcher,Fine,Python,Sort of (Explain more),51-75% of projects,7
Other,Male,27,Employed full-time,Technology,Master's degree,I never declared a major,12000,USD,Other,Fine,Python,Sort of (Explain more),26-50% of projects,8
Israel,Male,26,Employed full-time,Internet-based,Master's degree,Computer Science,130000,USD,Data Analyst,Poorly,Python,Yes,76-99% of projects,6
India,Male,26,Employed full-time,Technology,Master's degree,Computer Science,380000,INR,Data Analyst,Fine,R,Yes,100% of projects,3
United States,Male,41,Employed full-time,Technology,Master's degree,Mathematics or statistics,90000,USD,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,4
Brazil,Male,35,Employed full-time,Manufacturing,Master's degree,Computer Science,100000,BRL,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,8
United States,Male,37,Employed full-time,Academic,Master's degree,A humanities discipline,63000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),100% of projects,7
United States,Male,40,Employed full-time,Financial,Master's degree,Mathematics or statistics,180000,USD,Business Analyst,Poorly,Python,Yes,76-99% of projects,5
Brazil,Male,44,Employed part-time,Technology,Bachelor's degree,A humanities discipline,90000,BRL,Business Analyst,Poorly,Python,No,76-99% of projects,6
United States,Female,32,Employed full-time,Telecommunications,Bachelor's degree,Computer Science,110000,USD,Software Developer/Software Engineer,Fine,Python,No,100% of projects,8
United States,Female,29,Employed full-time,Other,Bachelor's degree,Biology,70000,USD,Data Analyst,Fine,Python,No,51-75% of projects,8
United States,Female,30,Employed full-time,Technology,Master's degree,Biology,110000,USD,Engineer,Fine,Python,Sort of (Explain more),26-50% of projects,I prefer not to share
Other,Male,38,Employed full-time,Financial,Bachelor's degree,Computer Science,310000000,VND,Data Analyst,Poorly,R,Yes,26-50% of projects,7
Ukraine,Female,34,Employed full-time,Telecommunications,Master's degree,Computer Science,480000,UAH,Data Analyst,Poorly,SQL,No,76-99% of projects,3
United States,Female,32,Employed full-time,Government,Master's degree,A social science,62000,USD,Data Analyst,Fine,Python,No,26-50% of projects,4
Switzerland,Female,28,Employed full-time,Technology,Master's degree,Electrical Engineering,80000,CHF,Engineer,Fine,Python,Yes,100% of projects,3
Finland,Male,28,"Independent contractor, freelancer, or self-employed",Academic,Master's degree,Engineering (non-computer focused),28000,EUR,Scientist/Researcher,Perfectly,R,Sort of (Explain more),26-50% of projects,5
United States,Male,34,Employed full-time,Insurance,Master's degree,Engineering (non-computer focused),150000,USD,Statistician,Fine,Python,No,Less than 10% of projects,7
United States,Male,41,Employed full-time,Academic,Doctoral degree,Biology,250000,USD,Other,Perfectly,Python,Yes,26-50% of projects,8
United States,Male,27,Employed full-time,CRM/Marketing,Master's degree,Computer Science,95000,USD,Machine Learning Engineer,Perfectly,Python,Yes,10-25% of projects,6
Italy,Male,48,Employed full-time,Technology,Master's degree,Mathematics or statistics,40000,EUR,Data Analyst,Poorly,Python,Sort of (Explain more),51-75% of projects,4
United States,Male,62,Employed full-time,Manufacturing,Bachelor's degree,Engineering (non-computer focused),85000,USD,Engineer,Fine,Python,Yes,76-99% of projects,I prefer not to share
United Kingdom,Male,27,Employed full-time,Academic,Master's degree,Electrical Engineering,15000,GBP,Scientist/Researcher,Fine,Python,No,None,6
United States,Male,57,Employed full-time,Manufacturing,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),200000,USD,Other,Fine,R,No,10-25% of projects,5
Canada,Male,27,Employed full-time,Retail,Master's degree,Electrical Engineering,60000,CAD,Data Analyst,Poorly,Python,Yes,76-99% of projects,5
United States,Male,28,Employed full-time,Financial,Bachelor's degree,Other,117000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,7
United States,Female,34,Employed full-time,Other,Doctoral degree,A humanities discipline,86000,USD,Other,Fine,R,Yes,100% of projects,9
United States,Female,28,Employed full-time,Insurance,Master's degree,Mathematics or statistics,70000,USD,Data Analyst,Fine,Python,Sort of (Explain more),26-50% of projects,6
United States,Male,35,Employed full-time,Telecommunications,Some college/university study without earning a bachelor's degree,Mathematics or statistics,185000,USD,Machine Learning Engineer,Fine,Python,Yes,100% of projects,10 - Highly Satisfied
United States,Male,41,Employed full-time,Technology,Some college/university study without earning a bachelor's degree,Computer Science,123000,USD,Software Developer/Software Engineer,Fine,Matlab,No,None,8
United Kingdom,Male,37,Employed full-time,Academic,Doctoral degree,Computer Science,40000,USD,Researcher,Fine,Python,No,None,5
United Kingdom,Male,44,"Independent contractor, freelancer, or self-employed",Internet-based,Bachelor's degree,"Information technology, networking, or system administration",50000,GBP,Software Developer/Software Engineer,Poorly,Python,No,26-50% of projects,6
Canada,Male,19,Employed part-time,Academic,Bachelor's degree,Biology,0,CAD,Scientist/Researcher,Fine,R,No,76-99% of projects,3
Brazil,Male,36,Employed full-time,Internet-based,Bachelor's degree,Electrical Engineering,100000,BRL,Programmer,Fine,Python,No,None,5
United States,Male,23,Employed full-time,Military/Security,Bachelor's degree,Mathematics or statistics,55000,USD,Data Analyst,Fine,Python,Sort of (Explain more),100% of projects,7
Canada,Male,40,Employed full-time,Hospitality/Entertainment/Sports,Bachelor's degree,Computer Science,122000,CAD,Software Developer/Software Engineer,Perfectly,Python,Sort of (Explain more),10-25% of projects,10 - Highly Satisfied
United States,Male,36,Employed full-time,Manufacturing,Master's degree,Engineering (non-computer focused),125000,USD,Other,Poorly,Python,Yes,10-25% of projects,3
United States,Female,20,Employed full-time,Insurance,Bachelor's degree,Mathematics or statistics,70000,USD,Statistician,Fine,R,Sort of (Explain more),51-75% of projects,9
